№;Название;Цвет;Тип;Текст;DLC;Комментарий;;;;;;;
1;Блудница;Зеленый;Карта дома;"Для постройки замка нужно
на две карты этого дома больше.
Можно подложить сопернику
с руки или при воскрешении.";;;;;;;;;
2;Паж;Зеленый;Карта дома;"Может сгинуть или перейти
к другому игроку вместо
любой другой карты
этого дома.";;;;;;;;;
3;Лекарь;Зеленый;Карта дома;"Наличие Чумового
в этом доме не мешает
построить замок.";;;;;;;;;
4;Казначей;Зеленый;Карта дома;"Купцы соперников не могут
менять карты этого дома
(подкладывать или забирать).";;;;;;;;;
5;Лорд;Зеленый;Карта дома;"Для постройки замка нужно
на одну карту этого
дома меньше.";;;;;;;;;
6;Чумовой;Зеленый;Карта дома;"У этого дома не может быть замка,
если в нём нет Лекаря.
Можно подложить сопернику
с руки или при воскрешении.";;;;;;;;;
7;Рыцарь;Зеленый;Карта дома;"Ассасины соперников не могут
отправить в колоду сгинувших
карты этого дома.";;;;;;;;;
8;Алхимик;Зеленый;Карта дома;"При каждом его появлении в доме,
можете отправить любую
карту на столе
в колоду сгинувших.";;;;;;;;;
9;Миледи;Зеленый;Карта дома;"При каждом её появлении
в доме переложите себе
любого мужчину (кроме Слуги)
из зелёного дома.";;;;;;;;;
10;Лазутчица;Зеленый;Карта дома;"При каждом её появлении в доме либо:
1) посмотрите карты соперника
и скиньте у него один приказ;
2) возьмите две карты из игровой колоды
(если ход ваш и не во время розыгрыша смуты).";;;;;;;;;
11;Блудница;Красный;Карта дома;"Для постройки замка нужно
на две карты этого дома больше.
Можно подложить сопернику
с руки или при воскрешении.";;Обновил арт;;;;;;;
12;Паж;Красный;Карта дома;"Может сгинуть или перейти
к другому игроку вместо
любой другой карты
этого дома.";;;;;;;;;
13;Лекарь;Красный;Карта дома;"Наличие Чумового
в этом доме не мешает
построить замок.";;;;;;;;;
14;Казначей;Красный;Карта дома;"Купцы соперников не могут
менять карты этого дома
(подкладывать или забирать).";;Опечатка в названии в оригинале;;;;;;;
15;Лорд;Красный;Карта дома;"Для постройки замка нужно
на одну карту этого
дома меньше.";;;;;;;;;
16;Чумовой;Красный;Карта дома;"У этого дома не может быть замка,
если в нём нет Лекаря.
Можно подложить сопернику
с руки или при воскрешении.";;;;;;;;;
17;Рыцарь;Красный;Карта дома;"Ассасины соперников не могут
отправить в колоду сгинувших
карты этого дома.";;;;;;;;;
18;Шут;Красный;Карта дома;"В качестве действия можете
отправить любую карту
этого вашего дома в колоду
сгинувших, чтобы разыграть
верхнюю карту из колоды смут.";;;;;;;;;
